('port 1',TE,1,'port 1',1,'transmission')
(500,3)
1.959428e+14 3.020299e-06 -1.695252e+00
1.959300e+14 2.223774e-06 -2.056452e+00
1.959171e+14 1.168549e-06 -2.449079e+00
1.959043e+14 1.158079e-07 -4.532580e+00
1.958915e+14 1.222838e-06 -6.096481e+00
1.958786e+14 2.262825e-06 -6.485529e+00
1.958658e+14 3.036511e-06 -6.845765e+00
1.958530e+14 3.451887e-06 -7.199255e+00
1.958402e+14 3.460317e-06 -7.551106e+00
1.958274e+14 3.061396e-06 -7.904281e+00
1.958145e+14 2.302907e-06 -8.263632e+00
1.958017e+14 1.275826e-06 -8.649088e+00
1.957889e+14 1.451390e-07 -9.781373e+00
1.957761e+14 1.099851e-06 -1.229394e+01
1.957633e+14 2.154250e-06 -1.268976e+01
1.957505e+14 2.956052e-06 -1.305061e+01
1.957377e+14 3.409530e-06 -1.340377e+01
1.957249e+14 3.461352e-06 -1.375494e+01
1.957121e+14 3.105780e-06 -1.410710e+01
1.956993e+14 2.385246e-06 -1.446467e+01
1.956865e+14 1.385855e-06 -1.484407e+01
1.956737e+14 2.447418e-07 -1.557962e+01
1.956609e+14 9.762891e-07 -1.848212e+01
1.956481e+14 2.046052e-06 -1.888709e+01
1.956353e+14 2.876906e-06 -1.924872e+01
1.956225e+14 3.369148e-06 -1.960154e+01
1.956097e+14 3.464647e-06 -1.995198e+01
1.955969e+14 3.152292e-06 -2.030309e+01
1.955841e+14 2.469196e-06 -2.065892e+01
1.955713e+14 1.496731e-06 -2.103319e+01
1.955586e+14 3.603832e-07 -2.161615e+01
1.955458e+14 8.541313e-07 -2.465935e+01
1.955330e+14 1.939846e-06 -2.507675e+01
1.955202e+14 2.800174e-06 -2.543932e+01
1.955075e+14 3.331168e-06 -2.579176e+01
1.954947e+14 3.469845e-06 -2.614140e+01
1.954819e+14 3.199761e-06 -2.649140e+01
1.954691e+14 2.552829e-06 -2.684551e+01
1.954564e+14 1.605909e-06 -2.721538e+01
1.954436e+14 4.776288e-07 -2.772429e+01
1.954308e+14 7.364295e-07 -3.082344e+01
1.954181e+14 1.838344e-06 -3.125773e+01
1.954053e+14 2.727960e-06 -3.162135e+01
1.953925e+14 3.296777e-06 -3.197332e+01
1.953798e+14 3.476988e-06 -3.232204e+01
1.953670e+14 3.246964e-06 -3.267082e+01
1.953543e+14 2.633678e-06 -3.302320e+01
1.953415e+14 1.709842e-06 -3.338925e+01
1.953288e+14 5.893969e-07 -3.385670e+01
1.953160e+14 6.278701e-07 -3.697191e+01
1.953033e+14 1.745944e-06 -3.742865e+01
1.952905e+14 2.663896e-06 -3.779329e+01
1.952778e+14 3.268313e-06 -3.814461e+01
1.952650e+14 3.486693e-06 -3.849222e+01
1.952523e+14 3.292539e-06 -3.883960e+01
1.952395e+14 2.708360e-06 -3.919015e+01
1.952268e+14 1.803326e-06 -3.955284e+01
1.952141e+14 6.881987e-07 -3.999542e+01
1.952013e+14 5.356961e-07 -4.310315e+01
1.951886e+14 1.669734e-06 -4.358756e+01
1.951759e+14 2.614012e-06 -4.395291e+01
1.951631e+14 3.249857e-06 -4.430323e+01
1.951504e+14 3.500347e-06 -4.464939e+01
1.951377e+14 3.334693e-06 -4.499506e+01
1.951249e+14 2.771766e-06 -4.534358e+01
1.951122e+14 1.878213e-06 -4.570323e+01
1.950995e+14 7.631947e-07 -4.613118e+01
1.950868e+14 4.713353e-07 -4.922003e+01
1.950740e+14 1.621311e-06 -4.973154e+01
1.950613e+14 2.588263e-06 -5.009669e+01
1.950486e+14 3.248187e-06 -5.044536e+01
1.950359e+14 3.520253e-06 -5.078949e+01
1.950232e+14 3.370376e-06 -5.113294e+01
1.950105e+14 2.815223e-06 -5.147903e+01
1.949978e+14 1.920650e-06 -5.183586e+01
1.949851e+14 7.964477e-07 -5.225756e+01
1.949724e+14 4.537898e-07 -5.533485e+01
1.949596e+14 1.620333e-06 -5.585578e+01
1.949469e+14 2.603318e-06 -5.621871e+01
1.949342e+14 3.274225e-06 -5.656454e+01
1.949215e+14 3.549240e-06 -5.690560e+01
1.949088e+14 3.392757e-06 -5.724585e+01
1.948961e+14 2.821770e-06 -5.758876e+01
1.948835e+14 1.904432e-06 -5.794294e+01
1.948708e+14 7.550115e-07 -5.837015e+01
1.948581e+14 5.183719e-07 -6.146028e+01
1.948454e+14 1.702097e-06 -6.195105e+01
1.948327e+14 2.687917e-06 -6.230796e+01
1.948200e+14 3.344777e-06 -6.264863e+01
1.948073e+14 3.587597e-06 -6.298456e+01
1.947946e+14 3.382619e-06 -6.331970e+01
1.947820e+14 2.752034e-06 -6.365788e+01
1.947693e+14 1.772282e-06 -6.401007e+01
1.947566e+14 5.706367e-07 -6.448138e+01
1.947439e+14 7.401680e-07 -6.757106e+01
1.947312e+14 1.935439e-06 -6.799657e+01
1.947186e+14 2.892960e-06 -6.834074e+01
1.947059e+14 3.480818e-06 -6.867132e+01
1.946932e+14 3.616242e-06 -6.899739e+01
1.946806e+14 3.274330e-06 -6.932271e+01
1.946679e+14 2.492626e-06 -6.965249e+01
1.946552e+14 1.369050e-06 -7.000874e+01
1.946426e+14 1.337671e-07 -7.150245e+01
1.946299e+14 1.310776e-06 -7.357671e+01
1.946172e+14 2.479190e-06 -7.392693e+01
1.946046e+14 3.300522e-06 -7.424124e+01
1.945919e+14 3.636750e-06 -7.454517e+01
1.945793e+14 3.416721e-06 -7.484602e+01
1.945666e+14 2.652611e-06 -7.515347e+01
1.945540e+14 1.449954e-06 -7.551187e+01
1.945413e+14 2.694003e-07 -7.735334e+01
1.945287e+14 1.557041e-06 -7.881448e+01
1.945160e+14 2.729597e-06 -7.912655e+01
1.945034e+14 3.287843e-06 -7.937344e+01
1.944907e+14 2.982363e-06 -7.961443e+01
1.944781e+14 1.827301e-06 -7.996916e+01
1.944654e+14 8.364185e-07 -8.143877e+01
1.944528e+14 2.104461e-06 -8.255352e+01
1.944402e+14 3.191771e-06 -8.288474e+01
1.944275e+14 3.501019e-06 -8.315376e+01
1.944149e+14 3.116614e-06 -8.344036e+01
1.944023e+14 2.278308e-06 -8.375972e+01
1.943896e+14 1.217654e-06 -8.411516e+01
1.943770e+14 1.065907e-07 -8.464078e+01
1.943644e+14 9.485173e-07 -8.171772e+01
1.943518e+14 1.877747e-06 -8.214630e+01
1.943391e+14 2.647788e-06 -8.258469e+01
1.943265e+14 3.243225e-06 -8.303506e+01
1.943139e+14 3.661175e-06 -8.349612e+01
1.943013e+14 3.906660e-06 -8.396637e+01
1.942887e+14 3.989663e-06 -8.444448e+01
1.942760e+14 3.923256e-06 -8.492932e+01
1.942634e+14 3.722399e-06 -8.541999e+01
1.942508e+14 3.403175e-06 -8.591578e+01
1.942382e+14 2.982310e-06 -8.641626e+01
1.942256e+14 2.476870e-06 -8.692146e+01
1.942130e+14 1.904107e-06 -8.743249e+01
1.942004e+14 1.281436e-06 -8.795413e+01
1.941878e+14 6.270237e-07 -8.851407e+01
1.941752e+14 8.189322e-08 -9.111869e+01
1.941626e+14 7.219945e-07 -9.247211e+01
1.941500e+14 1.372528e-06 -9.302219e+01
1.941374e+14 1.988290e-06 -9.354296e+01
1.941248e+14 2.551461e-06 -9.405491e+01
1.941122e+14 3.044821e-06 -9.456199e+01
1.940996e+14 3.451360e-06 -9.506519e+01
1.940870e+14 3.754337e-06 -9.556467e+01
1.940744e+14 3.937484e-06 -9.606024e+01
1.940618e+14 3.985358e-06 -9.655165e+01
1.940492e+14 3.883919e-06 -9.703871e+01
1.940367e+14 3.621460e-06 -9.752166e+01
1.940241e+14 3.190105e-06 -9.800186e+01
1.940115e+14 2.588348e-06 -9.848410e+01
1.939989e+14 1.826057e-06 -9.898618e+01
1.939863e+14 9.422651e-07 -9.960761e+01
1.939738e+14 3.879463e-07 -1.016041e+02
1.939612e+14 1.258468e-06 -1.028826e+02
1.939486e+14 2.209223e-06 -1.033881e+02
1.939360e+14 2.936646e-06 -1.037985e+02
1.939235e+14 3.262376e-06 -1.041908e+02
1.939109e+14 3.118227e-06 -1.046260e+02
1.938983e+14 2.743984e-06 -1.051878e+02
1.938858e+14 2.622376e-06 -1.058459e+02
1.938732e+14 2.644607e-06 -1.063881e+02
1.938606e+14 2.205745e-06 -1.068147e+02
1.938481e+14 1.177020e-06 -1.073898e+02
1.938355e+14 8.564430e-07 -1.093458e+02
1.938230e+14 2.208988e-06 -1.101692e+02
1.938104e+14 3.398664e-06 -1.105448e+02
1.937979e+14 4.058424e-06 -1.108592e+02
1.937853e+14 4.071916e-06 -1.111612e+02
1.937727e+14 3.448070e-06 -1.114650e+02
1.937602e+14 2.295340e-06 -1.117855e+02
1.937477e+14 8.043113e-07 -1.122234e+02
1.937351e+14 8.580030e-07 -1.152424e+02
1.937226e+14 2.359009e-06 -1.156740e+02
1.937100e+14 3.545206e-06 -1.160040e+02
1.936975e+14 4.250900e-06 -1.163221e+02
1.936849e+14 4.387580e-06 -1.166392e+02
1.936724e+14 3.944482e-06 -1.169593e+02
