('port 1',TE,1,'port 1',1,'transmission')
(500,3)
1.999950e+14 2.450390e-06 -2.512758e+00
1.999677e+14 1.627381e-06 -2.666665e+00
1.999404e+14 7.621252e-07 -2.839500e+00
1.999132e+14 1.346676e-07 -5.785505e+00
1.998859e+14 1.025393e-06 -6.184387e+00
1.998587e+14 1.907023e-06 -6.347556e+00
1.998315e+14 2.756152e-06 -6.499516e+00
1.998042e+14 3.554131e-06 -6.648357e+00
1.997770e+14 4.283380e-06 -6.795881e+00
1.997498e+14 4.927661e-06 -6.942717e+00
1.997226e+14 5.472418e-06 -7.089146e+00
1.996954e+14 5.905095e-06 -7.235312e+00
1.996682e+14 6.215416e-06 -7.381300e+00
1.996411e+14 6.395616e-06 -7.527164e+00
1.996139e+14 6.440628e-06 -7.672947e+00
1.995867e+14 6.348216e-06 -7.818690e+00
1.995596e+14 6.119053e-06 -7.964433e+00
1.995324e+14 5.756730e-06 -8.110234e+00
1.995053e+14 5.267723e-06 -8.256177e+00
1.994781e+14 4.661283e-06 -8.402400e+00
1.994510e+14 3.949271e-06 -8.549164e+00
1.994239e+14 3.145944e-06 -8.697026e+00
1.993968e+14 2.267677e-06 -8.847472e+00
1.993697e+14 1.332714e-06 -9.006303e+00
1.993426e+14 3.621161e-07 -9.242419e+00
1.993155e+14 6.319309e-07 -1.233187e+01
1.992884e+14 1.616460e-06 -1.252033e+01
1.992613e+14 2.576623e-06 -1.267558e+01
1.992343e+14 3.491152e-06 -1.282504e+01
1.992072e+14 4.340180e-06 -1.297249e+01
1.991801e+14 5.105188e-06 -1.311903e+01
1.991531e+14 5.769364e-06 -1.326511e+01
1.991261e+14 6.317943e-06 -1.341093e+01
1.990990e+14 6.738506e-06 -1.355661e+01
1.990720e+14 7.021220e-06 -1.370220e+01
1.990450e+14 7.159027e-06 -1.384773e+01
1.990180e+14 7.147770e-06 -1.399322e+01
1.989910e+14 6.986272e-06 -1.413866e+01
1.989640e+14 6.676360e-06 -1.428408e+01
1.989370e+14 6.222841e-06 -1.442946e+01
1.989100e+14 5.633448e-06 -1.457483e+01
1.988830e+14 4.918730e-06 -1.472025e+01
1.988561e+14 4.091912e-06 -1.486587e+01
1.988291e+14 3.168712e-06 -1.501207e+01
1.988022e+14 2.167110e-06 -1.516005e+01
1.987752e+14 1.107124e-06 -1.531586e+01
1.987483e+14 2.901375e-08 -1.666454e+01
1.987213e+14 1.101872e-06 -1.869454e+01
1.986944e+14 2.203511e-06 -1.884986e+01
1.986675e+14 3.272005e-06 -1.899659e+01
1.986406e+14 4.283701e-06 -1.914103e+01
1.986137e+14 5.215857e-06 -1.928447e+01
1.985868e+14 6.047157e-06 -1.942738e+01
1.985599e+14 6.758263e-06 -1.956998e+01
1.985330e+14 7.332331e-06 -1.971241e+01
1.985062e+14 7.755467e-06 -1.985480e+01
1.984793e+14 8.017099e-06 -1.999724e+01
1.984525e+14 8.110256e-06 -2.013982e+01
1.984256e+14 8.031727e-06 -2.028261e+01
1.983988e+14 7.782118e-06 -2.042571e+01
1.983719e+14 7.365793e-06 -2.056922e+01
1.983451e+14 6.790715e-06 -2.071326e+01
1.983183e+14 6.068201e-06 -2.085801e+01
1.982915e+14 5.212612e-06 -2.100378e+01
1.982647e+14 4.240999e-06 -2.115119e+01
1.982379e+14 3.172738e-06 -2.130182e+01
1.982111e+14 2.029246e-06 -2.146103e+01
1.981843e+14 8.347608e-07 -2.166566e+01
1.981575e+14 4.050636e-07 -2.463589e+01
1.981307e+14 1.629260e-06 -2.494044e+01
1.981040e+14 2.839513e-06 -2.510707e+01
