.HEADER
..NAMES
wavelength,transmission,transmission,angle,group delay,group velocity,dispersion,loss,gain
..UNITS
m,TE transmission,TE transmission,TE angle (rad),TE group delay (s),TE group velocity (m/s),TE dispersion (s/m),TE loss (dB),TE gain (dB)
..DATATYPES
double,complex,complex,double,double,double,double,double,double
..WAVEFORM_TYPES
,analog,analog,analog,analog,analog,analog,analog,analog
..AXIS_SPACING
linear
..FOLDER_NAME
input_1_mode_1
.DATA
1.502110327000874e-06,-0.0761193946580921,0.02622321098175769,304.4027197999948,4.061887985272021e-12,246190934763.8081,1.82150065676551e-05,21.88303097986864,-21.88303097986864
1.502141643474736e-06,-0.07305754466385886,0.0342127344806737,304.2965211135235,4.062264208874146e-12,246168133972.0514,5.812452746718648e-06,21.86558059093932,-21.86558059093932
1.502172961254416e-06,-0.06915355227620691,0.04184563317393664,304.1903176682017,4.062272332224487e-12,246167641708.1578,-5.293451967564949e-06,21.8486933966021,-21.8486933966021
1.502204280339997e-06,-0.0644493312118954,0.04903218504608955,304.0841185569876,4.062684194667228e-12,246142685988.8895,3.159373448772734e-05,21.83237099865326,-21.83237099865326
1.50223560073156e-06,-0.05899641802141036,0.05569198024291813,303.977893576764,4.062760352940052e-12,246138071933.3694,-2.672934347428549e-05,21.81630641119644,-21.81630641119644
1.502266922429187e-06,-0.05285498896848752,0.06174244100277829,303.8716904834901,4.061773987270074e-12,246197844373.9313,-3.625335763407532e-05,21.80075967864156,-21.80075967864156
1.50229824543296e-06,-0.04609417941014337,0.06711237940418795,303.7655170770096,4.060543276265295e-12,246272464535.769,-4.232844311841876e-05,21.78568697626622,-21.78568697626622
1.502329569742959e-06,-0.03879030335432464,0.07173880680284525,303.6593783334745,4.059097274895458e-12,246360195944.2461,-4.999594427118449e-05,21.77103647071433,-21.77103647071433
1.502360895359268e-06,-0.03102616410498042,0.07556757525777627,303.553280533542,4.057466954036563e-12,246459185331.1712,-5.409263962362743e-05,21.75673584676177,-21.75673584676177
1.502392222281968e-06,-0.02288958535008201,0.0785540133393057,303.4472270340009,4.055765526431212e-12,246562577023.5119,-5.453133714005584e-05,21.74271076883055,-21.74271076883055
1.50242355051114e-06,-0.01447227167328901,0.08066325555028818,303.3412181959951,4.054049183448031e-12,246666963016.3403,-5.504030874774713e-05,21.7288883120479,-21.7288883120479
1.502454880046866e-06,-0.005868953539857392,0.08187053593661249,303.2352544382555,4.052357983693719e-12,246769906317.2354,-5.292174091377744e-05,21.71518673207067,-21.71518673207067
1.502486210889228e-06,0.002823929956061985,0.08216128077473117,303.1293340273963,4.050788016724832e-12,246865547116.0711,-4.729700123378181e-05,21.70152853774428,-21.70152853774428
1.502517543038308e-06,0.01150935728838044,0.08153103219747836,303.0234523579489,4.049403802993693e-12,246949933533.6001,-4.106053624017456e-05,21.68784749779142,-21.68784749779142
1.502548876494187e-06,0.02009055455439785,0.07998543327764789,302.9176043229699,4.048580707332173e-12,247000139626.4504,-1.147789612825747e-05,21.67408073520469,-21.67408073520469
1.502580211256947e-06,0.0284738822505207,0.07754072632281483,302.8117656904261,4.048400691111291e-12,247011122736.8403,-1.221588616176042e-08,21.66003865504568,-21.66003865504568
1.502611547326671e-06,0.03656645993086485,0.07422145455902598,302.7059270678897,4.048185933613912e-12,247024226752.173,-1.369422711189434e-05,21.64567526274201,-21.64567526274201
1.502642884703438e-06,0.04427606833555388,0.07006107058427412,302.6000996642931,4.047902889526426e-12,247041499584.2434,-4.370280094311616e-06,21.63111298972094,-21.63111298972094
1.502674223387333e-06,0.05151625195797645,0.06510308269464897,302.49427584118,4.04793454101597e-12,247039567924.6866,6.390018591705352e-06,21.61633584638398,-21.61633584638398
1.502705563378435e-06,0.05820532032761463,0.05939950602959576,302.3884467826334,4.048310081014889e-12,247016651389.8326,1.757529410556462e-05,21.60134928592608,-21.60134928592608
1.502736904676828e-06,0.0642670681936378,0.05301045291630778,302.2826033237969,4.048983984364063e-12,246975538520.699,2.542871765091877e-05,21.58617740784311,-21.58617740784311
1.502768247282593e-06,0.06963152428175565,0.04600393100744309,302.176739029111,4.049908680781633e-12,246919147768.7838,3.357682650077679e-05,21.57084438622938,-21.57084438622938
1.502799591195811e-06,0.07423577377479409,0.03845495752308344,302.0708472210091,4.051092519220056e-12,246846991337.6669,4.196164817200376e-05,21.55539359691891,-21.55539359691891
1.502830936416564e-06,0.07802461963839019,0.03044490312345239,301.9649210273931,4.052461909473417e-12,246763577878.994,4.541301960233013e-05,21.53988830249958,-21.53988830249958
1.502862282944935e-06,0.08095141055784753,0.02206120520857701,301.8589576184809,4.053936396775837e-12,246673825666.1641,4.866350600336669e-05,21.52437973395409,-21.52437973395409
1.502893630781005e-06,0.08297863561925337,0.01339612050241556,301.7529543288834,4.055503423012565e-12,246578512133.8071,5.131311545386164e-05,21.50893365419322,-21.50893365419322
1.502924979924856e-06,0.08407846987178987,0.004545856482876694,301.6469089854401,4.057795424174223e-12,246439234970.4283,9.491013821911786e-05,21.49362713755541,-21.49362713755541
1.50295633037657e-06,0.08423592574601164,-0.004393417828460242,301.5407858548112,4.060045893222323e-12,246302634575.9686,4.865935105357151e-05,21.4782550414613,-21.4782550414613
1.502987682136228e-06,0.08344121773915265,-0.01331778997488942,301.4346228419109,4.06150314229539e-12,246214262297.6877,4.430196999999962e-05,21.46313932361707,-21.46313932361707
1.503019035203913e-06,0.0816983864739869,-0.0221251420429557,301.3284235166295,4.062802214299174e-12,246135535832.9936,3.856544779138247e-05,21.44835434955652,-21.44835434955652
1.503050389579706e-06,0.07902282539415696,-0.03071389471572049,301.2221925796237,4.063899266877362e-12,246069091365.1472,3.14123393295346e-05,21.43394936719456,-21.43394936719456
1.50308174526369e-06,0.07544111369805895,-0.03898431125723906,301.115935893153,4.064776447135752e-12,246015989564.3587,2.453812291712856e-05,21.41996183590408,-21.41996183590408
1.503113102255945e-06,0.07099065995685641,-0.04683983854744871,301.0096590913419,4.065424545196901e-12,245976770416.6225,1.679878765748823e-05,21.40642852037687,-21.40642852037687
1.503144460556555e-06,0.06571947696368594,-0.05418833216951843,300.9033685180035,4.065812455848939e-12,245953302288.0665,7.941937539987543e-06,21.39337143132648,-21.39337143132648
1.5031758201656e-06,0.05968570542127673,-0.060943326441393,300.7970714336492,4.065942011047312e-12,245945465351.6857,3.207733367007652e-07,21.38079109473619,-21.38079109473619
1.503207181083163e-06,0.05295664810085652,-0.06702517440153377,300.6907740863052,4.065845933565734e-12,245951277136.3186,-6.447843252987111e-06,21.36868713034481,-21.36868713034481
1.503238543309326e-06,0.0456079900345488,-0.07236204456130908,300.5844820255193,4.065526717299218e-12,245970588692.7028,-1.390873627579968e-05,21.35705274728746,-21.35705274728746
1.50326990684417e-06,0.03772303751036504,-0.07689094154895861,300.4782013689202,4.065345155793486e-12,245981573932.2673,2.330524842267843e-06,21.34585408462965,-21.34585408462965
1.503301271687778e-06,0.02939029824163775,-0.08055999884348752,300.3719188013746,4.065408664191748e-12,245977731293.7891,1.719142937885536e-06,21.33493911696484,-21.33493911696484
1.50333263784023e-06,0.02070374718520596,-0.08332555662364971,300.265634824135,4.065013619957942e-12,246001635785.5023,-2.690775138917233e-05,21.32426836805518,-21.32426836805518
1.503364005301611e-06,0.01176328714164834,-0.08515277331785517,300.1593729121237,4.064143445668386e-12,246054307228.2088,-2.857482230588767e-05,21.31392602915318,-21.31392602915318
1.503395374072e-06,0.00267056239270266,-0.08601957537531923,300.0531344333708,4.063252085448942e-12,246108284440.7159,-2.825624326909802e-05,21.30387016732659,-21.30387016732659
1.503426744151481e-06,-0.006471209674910329,-0.08591479727377033,299.9469191275873,4.062369983251381e-12,246161724343.8852,-2.798220442736323e-05,21.29407144846036,-21.29407144846036
1.503458115540135e-06,-0.01555828170620193,-0.08483854345176324,299.8407267709912,4.061520189084145e-12,246213228900.752,-2.619421483421794e-05,21.28448161832832,-21.28448161832832
1.503489488238044e-06,-0.02448767863181796,-0.082801816477044,299.7345558980863,4.060748099029029e-12,246260042635.7674,-2.302635867855794e-05,21.27506494959775,-21.27506494959775
1.50352086224529e-06,-0.03315826011071105,-0.07982627870772231,299.6284039114823,4.060074352522991e-12,246300908104.9427,-1.992304950235515e-05,21.26580284198779,-21.26580284198779
1.503552237561955e-06,-0.04147177475006546,-0.07594422991698987,299.5222682665161,4.059503051002628e-12,246335570496.25,-1.649428127996805e-05,21.2566698359166,-21.2566698359166
1.503583614188122e-06,-0.04933392608033606,-0.0711980882304285,299.4161461513469,4.059047373254042e-12,246363224679.0763,-1.255148271580738e-05,21.24764820272582,-21.24764820272582
1.503614992123871e-06,-0.0566553156586441,-0.06563982898831858,299.3100343322374,4.058708422662769e-12,246383798948.5179,-9.052980964616485e-06,21.23873882501616,-21.23873882501616
1.503646371369285e-06,-0.06335242758683841,-0.05933062555265171,299.2039299396546,4.059160452546802e-12,246356361540.8647,3.786275739573777e-05,21.22994375188916,-21.22994375188916
1.503677751924446e-06,-0.0693524113462623,-0.05233918343226819,299.0977944854229,4.059715904306705e-12,246322654976.7094,-2.460900367323156e-06,21.22102113079393,-21.22102113079393
1.503709133789436e-06,-0.07458218976118276,-0.04474317328174883,298.9916610501359,4.059645204518559e-12,246326944750.4814,-2.044881834284843e-06,21.21222380173549,-21.21222380173549
1.503740516964337e-06,-0.07898084517918964,-0.03662715487336803,298.8855292925583,4.059585704222887e-12,246330555100.6779,-1.746983928465306e-06,21.20358160404071,-21.20358160404071
1.503771901449231e-06,-0.08249688868023006,-0.02808192827655863,298.7793989683416,4.059525923360969e-12,246334182581.615,-2.062590053285803e-06,21.19510458687788,-21.19510458687788
1.5038032872442e-06,-0.08508861743961416,-0.01920339506526086,298.6732703365042,4.059446505933e-12,246339001767.4751,-2.998114741235431e-06,21.18681365584779,-21.18681365584779
1.503834674349326e-06,-0.08672466737681295,-0.01009154653428754,298.5671441647577,4.059312996922136e-12,246347103748.3986,-5.509085131592283e-06,21.17873667580757,-21.17873667580757
1.503866062764691e-06,-0.08738474948005948,-0.0008494434499597572,298.4610225136574,4.059094963330727e-12,246360336240.9243,-8.383470275328391e-06,21.17087673315449,-21.17087673315449
1.503897452490378e-06,-0.08705966464360962,0.008418149303470289,298.3549077421541,4.058784973634844e-12,246379152011.2115,-1.136749673691929e-05,21.16324347154691,-21.16324347154691
1.503928843526467e-06,-0.08575145429163311,0.01760596309953843,298.2488022993723,4.058365451755862e-12,246404620748.8159,-1.536118907742757e-05,21.15585201122353,-21.15585201122353
1.503960235873042e-06,-0.08347376550061468,0.02660946821621437,298.1427094632569,4.057824178886171e-12,246437488643.1105,-1.912311656422114e-05,21.14868806272312,-21.14868806272312
1.503991629530184e-06,-0.08025137684099805,0.03532621028675046,298.0366323218129,4.057515731282178e-12,246456222532.9929,-5.275851934089646e-07,21.14173936867065,-21.14173936867065
1.504023024497976e-06,-0.07612009893318337,0.0436589451646324,297.9305556133852,4.057480654344845e-12,246458353148.074,-1.706948131385408e-06,21.13488240002481,-21.13488240002481
1.504054420776499e-06,-0.07112551115729149,0.05151323372398398,297.8244803059962,4.057015852685204e-12,246486589234.8272,-2.790121549336976e-05,21.12807549177297,-21.12807549177297
1.504085818365835e-06,-0.06532316801636849,0.05879783794192268,297.718427900484,4.056122015840127e-12,246540906830.4062,-2.903541512561824e-05,21.12140753301741,-21.12140753301741
1.504117217266067e-06,-0.05877812419204866,0.06543018909102701,297.6123993288172,4.055206740363657e-12,246596552044.181,-2.92644230501315e-05,21.1148480049041,-21.1148480049041
1.504148617477277e-06,-0.05156381204250023,0.07133531546437283,297.506394779981,4.054301276252134e-12,246651625486.6035,-2.840808022974254e-05,21.10835391167641,-21.10835391167641
1.504180018999547e-06,-0.04376107065049967,0.07644664404336073,297.400413551987,4.053448311118278e-12,246703528266.8048,-2.591832741526219e-05,21.10187492805135,-21.10187492805135
1.504211421832959e-06,-0.03545703867571778,0.08070654139495879,297.2944536018286,4.05269449068589e-12,246749416295.3194,-2.209146054050364e-05,21.09537207343951,-21.09537207343951
1.504242825977595e-06,-0.02674423926634146,0.08406692748166385,297.1885117885695,4.05207667624471e-12,246787037832.3534,-1.725468524901811e-05,21.08880723873042,-21.08880723873042
1.504274231433537e-06,-0.01771957933865916,0.08648982331767692,297.0825841418502,4.051633679517535e-12,246814020985.0066,-1.095689636564283e-05,21.08213241364559,-21.08213241364559
1.504305638200867e-06,-0.008483163653997195,0.08794742560690555,296.9766654913999,4.051406402422045e-12,246827866837.0993,-3.516387845678722e-06,21.07531745440485,-21.07531745440485
1.504337046279668e-06,0.0008626788122924275,0.08842233076313399,296.8707497282355,4.051422296894812e-12,246826898486.1055,4.528346276739709e-06,21.06834746131651,-21.06834746131651
1.504368455670021e-06,0.01021439883520186,0.0879079629928126,296.7648302467167,4.052398659922317e-12,246767429347.4299,5.764068030123276e-05,21.06119341776418,-21.06119341776418
1.50439986637201e-06,0.01947197012193651,0.0864097811215067,296.6588634328136,4.053663836420807e-12,246690411527.3043,2.29170789754486e-05,21.05362329859578,-21.05362329859578
1.504431278385715e-06,0.02852917846576692,0.08393979290751362,296.5528777994712,4.054523199008658e-12,246638125105.4385,3.179827186027691e-05,21.04588346971505,-21.04588346971505
1.504462691711219e-06,0.03728488413848309,0.0805230511532396,296.4468660523889,4.055664112701932e-12,246568742433.1075,4.084037490887168e-05,21.03797730888386,-21.03797730888386
1.504494106348605e-06,0.04564077118165831,0.07619475030574403,296.340820764507,4.057076116845109e-12,246482927901.6897,4.905411800450565e-05,21.02993460141839,-21.02993460141839
1.504525522297954e-06,0.05350221256877268,0.07100001841536761,296.2347351884774,4.058737940429023e-12,246382007086.2462,5.674061981505878e-05,21.02181126775818,-21.02181126775818
1.504556939559349e-06,0.06077949896665255,0.06499390680860885,296.12860300943,4.060621519832137e-12,246267719144.9597,6.316654021354937e-05,21.01365008756198,-21.01365008756198
1.504588358132871e-06,0.06738864326117242,0.05824069841690457,296.022418947369,4.062677337823852e-12,246143101419.8247,6.769977697895766e-05,21.00551148292734,-21.00551148292734
1.504619778018604e-06,0.07325225008736094,0.05081341372882213,295.9161792765136,4.064855863860334e-12,246011183050.9815,7.097195346976985e-05,20.99747870394598,-20.99747870394598
1.504651199216629e-06,0.07830073887579996,0.04279336407033263,295.8098813066538,4.067109490462884e-12,245874865760.2991,7.247427078835628e-05,20.98962678694088,-20.98962678694088
1.504682621727028e-06,0.08247317531289178,0.03426931987323076,295.7035238012436,4.069369267158006e-12,245738328067.3339,7.135746208919277e-05,20.98203369634221,-20.98203369634221
1.504714045549885e-06,0.08571798711836859,0.02533665367538424,295.5971076752613,4.071922109752802e-12,245584265377.9809,9.112029380046816e-05,20.97479347894623,-20.97479347894623
1.50474547068528e-06,0.08799542739357553,0.01609497776422641,295.4906166902985,4.074702634832641e-12,245416681809.2415,8.584166842680537e-05,20.96788234833635,-20.96788234833635
1.504776897133296e-06,0.08927496245298421,0.006649469073447059,295.3840551800122,4.076942088980908e-12,245281875036.3866,5.667928823420802e-05,20.96137961661153,-20.96137961661153
1.504808324894016e-06,0.08953651472708289,-0.002889659759922018,295.2774471015245,4.078575027272021e-12,245183671579.7419,4.723784438452152e-05,20.95547512230032,-20.95547512230032
1.504839753967521e-06,0.08877366851279821,-0.01241141383216173,295.1708002103875,4.079906038924251e-12,245103683873.9722,3.746174819451779e-05,20.95024528335337,-20.95024528335337
1.504871184353894e-06,0.08699264487637992,-0.02180438888752057,295.0641225377775,4.080893788255746e-12,245044358389.7879,2.539164986954188e-05,20.94573743476756,-20.94573743476756
1.504902616053218e-06,0.08421208426937474,-0.03095809893272567,294.9574240005502,4.081470170591386e-12,245009753398.5174,1.128387062528761e-05,20.94199856201895,-20.94199856201895
